COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ib.1	p_Ia.3.III	p_Ia.4.RS39	p_Ia.3.IV	p_Ia.4.1483	p_Ia.4.II	p_Ia.3.II	p_Ia.3.VI	p_Ia.3.V	p_Ia.3.I	p_Ia.1.I	N_Ib.1	N_Ia.3.III	N_Ia.4.RS39	N_Ia.3.IV	N_Ia.4.1483	N_Ia.4.II	N_Ia.3.II	N_Ia.3.VI	N_Ia.3.V	N_Ia.3.I	N_Ia.1.I
ABC-type sugar transport system, permease component (UgpA) (PDB:3FH6)	29.459958567265414	0.0010492792327577568	0.004755173083484994	Ib.1, Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG1175	GC_00001115, GC_00001192, GC_00001277, GC_00001405, GC_00001528, GC_00001586, GC_00001589, GC_00001638, GC_00001857, GC_00002047	1	1	0.5	0.5	1	0.8571	1	1	1	1	0.8571	2	5	4	2	1	7	6	47	8	3	7
ABC-type sugar transport system, ATPase component MalK (MalK) (PDB:2ONK)	29.459958567265414	0.0010492792327577568	0.004755173083484994	Ib.1, Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG3839	GC_00000091, GC_00001117, GC_00001121, GC_00001587, GC_00001601, GC_00001603, GC_00001858, GC_00001864	1	1	0.5	0.5	1	0.8571	1	1	1	1	0.8571	2	5	4	2	1	7	6	47	8	3	7
ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)	29.459958567265414	0.0010492792327577568	0.004755173083484994	Ib.1, Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I	COG0395	GC_00001116, GC_00001189, GC_00001276, GC_00001412, GC_00001527, GC_00001584, GC_00001592, GC_00001637, GC_00001639, GC_00001841	1	1	0.5	0.5	1	0.8571	1	1	1	1	0.8571	2	5	4	2	1	7	6	47	8	3	7
Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat (PQQ) (PDB:6TJG)	29.303717057785935	0.0011124654643484863	0.00497812160302518	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG1520	GC_00001112, GC_00001706, GC_00002048, GC_00003409, GC_00003735, GC_00004936, GC_00005846	1	1	1	1	1	1	0.6667	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
2-methylcitrate dehydratase PrpD (PrpD) (PDB:1SZQ)	29.303717057785935	0.0011124654643484863	0.00497812160302518	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG2079	GC_00000902	1	1	1	1	1	1	0.6667	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Predicted O-linked N-acetylglucosamine transferase, SPINDLY family (Spy) (PDB:2JLB)!!!Flp pilus assembly protein TadD, contains TPR repeats (TadD) (PDB:3WXX)	29.30371705778587	0.0011124654643485127	0.00497812160302518	Ia.3.II	COG3914!!!COG5010	GC_00003791	0	0	0	0	0	0	0.3333	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Glucose dehydrogenase, PQQ-dependent (Gcd) (PDB:1FLG)	29.30370977050098	0.0011124684959676792	0.00497812160302518	Ia.3.IV, Ia.3.II	COG4993	GC_00003900, GC_00005952, GC_00007044	0	0	0	0.5	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
WD40 repeat (WD40) (PDB:3UVN)	28.599251753766342	0.0014463366384562387	0.006451840239884727	Ib.1, Ia.3.V	COG2319	GC_00002808	0.5	0	0	0	0	0	0	0	0.25	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted restriction endonuclease	27.844480744944843	0.0019116729496554137	0.008500970647998918	Ib.1, Ia.4.II, Ia.3.I	COG3440	GC_00004170, GC_00007724, GC_00008238	0.5	0	0	0	0	0.1429	0	0	0	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized membrane protein YphA, DoxX/SURF4 family (DoxX)	27.300592970964594	0.0023337585984705192	0.010345602758951866	Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.1.I	COG2259	GC_00001381	0	0.4	0	0.5	1	1	0	0.3191	0.125	0.3333	0.7143	2	5	4	2	1	7	6	47	8	3	7
Sugar transferase involved in LPS biosynthesis (colanic, teichoic acid) (WcaJ) (PDB:5W7L)	27.0435176433399	0.0025633706332841683	0.011328187612308607	Ib.1, Ia.3.VI, Ia.3.I	COG2148	GC_00002019, GC_00002119, GC_00003079, GC_00003751, GC_00007050, GC_00007095, GC_00007142, GC_00008049	1	0	0	0	0	0	0.1667	0.2553	0.125	1	0	2	5	4	2	1	7	6	47	8	3	7
Phosphorylcholine metabolism protein LicD (LicD)	26.496091676800404	0.0031272571710496927	0.013777358991961957	Ia.3.III, Ia.3.V, Ia.3.I	COG3475	GC_00003348, GC_00004427, GC_00004992, GC_00006755	0	0.4	0	0	0	0	0	0	0.25	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)	26.339823180116877	0.0033090479089549797	0.01453325671124363	Ia.3.III, Ia.4.1483, Ia.3.II, Ia.3.VI, Ia.3.I	COG1670	GC_00001340, GC_00001680, GC_00003074, GC_00003569, GC_00004657, GC_00004857, GC_00005052, GC_00005533, GC_00005534, GC_00006045, GC_00006214, GC_00007059, GC_00007151, GC_00007746	0	1	0	0	1	0.4286	1	0.7021	0.5	0.6667	0.2857	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family (YurZ) (PDB:3BEY)	26.250217511905696	0.0034178391500726576	0.014964877263241206	Ib.1, Ia.3.II, Ia.3.VI	COG0599	GC_00001689, GC_00003971	1	0	0	0	0	0	0.5	0.1489	0	0	0	2	5	4	2	1	7	6	47	8	3	7
UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family (WecG)	26.042217030104382	0.003683819364165466	0.016079984525176252	Ib.1, Ia.3.III, Ia.4.II, Ia.3.I	COG1922	GC_00001631, GC_00002351, GC_00005288, GC_00005924, GC_00006197	1	0.4	0	0	0	0.7143	0	0.1702	0.125	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!tRNA 5-hydroxyU34 O-methylase TrmR/YrrM (TrmR) (PDB:1H1D) (PUBMED:29982645)	25.957553830710697	0.0037976949386711377	0.01652636054351385	Ia.4.RS39, Ia.3.IV, Ia.3.II	COG0463!!!COG4122	GC_00003689, GC_00008212	0	0	0.25	0.5	0	0	0.1667	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Cytochrome c553 (CytC553) (PDB:6Q2U)	25.580168976074436	0.0043478153703608215	0.018862625829339785	Ia.3.I, Ia.1.I	COG2863	GC_00002915	0	0	0	0	0	0	0	0	0	0.3333	0.2857	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein S21 (RpsU) (PDB:4V4H)	25.36896195941825	0.004688327535386027	0.020278085358219806	Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.V, Ia.3.I, Ia.1.I	COG0828	GC_00001091	0.5	1	0.5	1	1	1	0.1667	0.7234	1	1	1	2	5	4	2	1	7	6	47	8	3	7
WD40 repeat (WD40) (PDB:3UVN)!!!6-phosphogluconolactonase, cycloisomerase 2 family (Pgl) (PDB:1JOF)!!!DNA-binding beta-propeller fold protein YncE (YncE) (PDB:3VGZ) (PUBMED:22120742;28628661)	24.82540819143734	0.005686448001963401	0.024446572528078307	Ia.4.II	COG2319!!!COG2706!!!COG3391	GC_00003610	0	0	0	0	0	0.2857	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose) (GtrA) (PDB:5MLZ) (PUBMED:24710389)	24.82540819143734	0.005686448001963401	0.024446572528078307	Ia.4.II	COG2246	GC_00003670	0	0	0	0	0	0.2857	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!Glycosyltransferase, GT2 family (WcaE) (PDB:2Z86)	24.469841036422483	0.006446324193192893	0.02762987749070327	Ia.4.1483, Ia.3.VI	COG0438!!!COG1216	GC_00002344	0	0	0	0	1	0	0	0.0638	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Glycerol-3-phosphate cytidylyltransferase, cytidylyltransferase family (TagD) (PDB:2B7L)!!!2-Methylisocitrate lyase and related enzymes, PEP mutase family (PrpB) (PDB:1XG3)	24.431731829741757	0.006533304713766243	0.027918596419487577	Ib.1, Ia.4.RS39, Ia.3.II, Ia.3.V, Ia.3.I	COG0615!!!COG2513	GC_00002012	0.5	0	0.25	0	0	0	0.3333	0	0.25	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Lipid carrier protein ElyC involved in cell wall biogenesis, DUF218 family (ElyC) (PDB:3CA8) (PUBMED:24391520)	24.38360993752804	0.006644742606901349	0.028225279789912298	Ia.3.VI, Ia.3.I	COG1434	GC_00002283	0	0	0	0	0	0	0	0.0638	0	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
Type IV pilus assembly protein PilF/PilW (PilF) (PDB:2VQ2) (PUBMED:16403447)!!!O-antigen ligase (RfaL)	24.38360993752804	0.006644742606901349	0.028225279789912298	Ia.3.VI, Ia.3.I	COG3063!!!COG3307	GC_00002835, GC_00003796	0	0	0	0	0	0	0	0.0638	0	0.6667	0	2	5	4	2	1	7	6	47	8	3	7
dTDP-4-dehydrorhamnose 3,5-epimerase or related enzyme (RfbC) (PDB:1DZR)	24.33438624614784	0.00676061128835993	0.02856533737801376	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.3.II, Ia.3.V, Ia.3.I	COG1898	GC_00001418, GC_00001849, GC_00002592, GC_00002759, GC_00003377, GC_00003706, GC_00003731, GC_00004266, GC_00004396, GC_00005049, GC_00005152, GC_00005992, GC_00006413, GC_00006653, GC_00006692, GC_00006922, GC_00008041, GC_00008064, GC_00008083	0	0.8	1	1	0	0.2857	0.8333	0.4255	0.75	1	0.1429	2	5	4	2	1	7	6	47	8	3	7
Glycerophosphoryl diester phosphodiesterase (UgpQ) (PDB:1O1Z)	24.332560293535888	0.006764946378349007	0.02856533737801376	Ib.1, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.I	COG0584	GC_00001515, GC_00001891, GC_00005427, GC_00007994, GC_00008090	1	0	0	0.5	0	0	0.5	0.383	0.25	1	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized conserved protein, contains caspase domain (PDB:3UO8)	24.03498155557732	0.0075080785280790905	0.031609454868214634	Ia.3.III, Ia.4.II	COG4249	GC_00002419, GC_00003625, GC_00003669, GC_00004398, GC_00005096, GC_00007160, GC_00007894	0	0.2	0	0	0	0.4286	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
UDP-glucose 4-epimerase (GalE) (PDB:1A9Y)	24.012689325748127	0.007566780545114817	0.03176262158023122	Ib.1, Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.I, Ia.1.I	COG1087	GC_00001941, GC_00002000, GC_00002123, GC_00002960, GC_00003222, GC_00003233, GC_00003411, GC_00003431, GC_00003694, GC_00004207, GC_00004505, GC_00004508, GC_00005030, GC_00005115, GC_00006227, GC_00007341, GC_00007587, GC_00007673	1	0.4	0.25	0.5	1	0.7143	0.8333	0.2128	0.125	0.6667	0.5714	2	5	4	2	1	7	6	47	8	3	7
D-alanyl-lipoteichoic acid acyltransferase DltB, MBOAT superfamily (DltB) (PDB:6BUG)	23.990547769376317	0.007625519297850596	0.03191504106129823	Ia.3.IV, Ia.3.I	COG1696	GC_00005278, GC_00005415, GC_00008220	0	0	0	0.5	0	0	0	0.0213	0	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)	23.693333607716923	0.008457337117824508	0.035292641403707546	Ia.3.III, Ia.3.IV, Ia.1.I	COG1733	GC_00001389, GC_00002236, GC_00006168	0	0.8	0.25	1	0	0	0.3333	0.3191	0.125	0.3333	0.8571	2	5	4	2	1	7	6	47	8	3	7
Predicted methyltransferase, contains TPR repeat	23.682834793275198	0.008488246965815967	0.03531805681975474	Ia.4.RS39, Ia.3.II	COG4976	GC_00004029, GC_00005258, GC_00005302, GC_00005402, GC_00005965, GC_00006640	0	0	0.25	0	0	0	0.5	0.0426	0	0	0	2	5	4	2	1	7	6	47	8	3	7
dTDP-4-dehydrorhamnose reductase (RfbD) (PDB:1KBZ)	23.59321448269957	0.008756517502924223	0.03632805949463898	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1091	GC_00001460, GC_00003336, GC_00003337, GC_00004238, GC_00004247, GC_00004529, GC_00005009, GC_00005032, GC_00005605, GC_00005717, GC_00006272, GC_00007057, GC_00007257, GC_00007450, GC_00007544, GC_00007826, GC_00008032, GC_00008214	0	0.8	1	0.5	0	0	0.6667	0.2766	0.625	0.6667	0.4286	2	5	4	2	1	7	6	47	8	3	7
L-2-hydroxyglutarate oxidase LhgO (LhgO) (PDB:3DME)	23.58147665396409	0.008792246108784407	0.036370250618605264	Ia.3.III, Ia.3.I	COG0579	GC_00003088, GC_00005034, GC_00007227	0	0.4	0	0	0	0	0	0.0213	0	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase (RfaJ) (PDB:1G9R)	23.084542332007466	0.010438783545266821	0.04305619995627445	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1442	GC_00001039, GC_00006948	0	1	1	1	1	1	1	0.7234	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Capsular polysaccharide biosynthesis protein	23.062582059616155	0.010517919817787583	0.04325722514656569	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.3.II, Ia.3.V, Ia.3.I	COG4421	GC_00003246, GC_00003603, GC_00003902, GC_00004114, GC_00004801, GC_00005461, GC_00007288	0	0.4	0.5	0.5	0	0	0.1667	0.0213	0.25	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized metal-binding protein, DUF411 family	22.93399500651933	0.010992853252213932	0.04495066143074835	Ia.3.III	COG3019	GC_00002726	0	0.4	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA) (SufI) (PDB:2YXV)	22.93399500651933	0.010992853252213932	0.04495066143074835	Ia.3.III	COG2132	GC_00002967	0	0.4	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
2-phosphoglycerate kinase/Mevalonate-3-phosphate 5-kinase (Pgk2)	22.468041794195923	0.012889909659269845	0.05196130721003328	Ib.1	COG2074	GC_00004009	0.5	0	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Preprotein translocase subunit SecE (SecE) (PDB:5MG3) (PUBMED:29684280)	22.468041794195802	0.012889909659270378	0.05196130721003328	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0690	GC_00000889	0.5	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Thymidylate kinase (Tmk) (PDB:3LV8)	22.468041794195802	0.012889909659270378	0.05196130721003328	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0125	GC_00000400, GC_00003113	0.5	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Predicted endonuclease, GIY-YIG superfamily (YhbQ) (PDB:1YWL)	22.468041794195802	0.012889909659270378	0.05196130721003328	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG2827	GC_00001193, GC_00001384	0.5	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
D-alanyl-D-alanine carboxypeptidase (DacC) (PDB:1HD8)	22.468041794195802	0.012889909659270378	0.05196130721003328	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG1686	GC_00000894	0.5	1	1	1	1	1	1	0.9787	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Multidrug resistance efflux pump EmrA (EmrA) (PDB:4TKO)	22.245227025601476	0.013902916542886135	0.05516204331329003	Ib.1, Ia.3.IV, Ia.4.II, Ia.3.VI, Ia.1.I	COG1566	GC_00001457	0.5	0	0	0.5	0	0.5714	0	0.2553	0	0	0.7143	2	5	4	2	1	7	6	47	8	3	7
Streptogramin lyase (Vgb)	22.245227025601476	0.013902916542886135	0.05516204331329003	Ib.1, Ia.3.IV, Ia.4.II, Ia.3.VI, Ia.1.I	COG4257	GC_00001303	0.5	0	0	0.5	0	0.5714	0	0.2553	0	0	0.7143	2	5	4	2	1	7	6	47	8	3	7
SPX domain-containing protein involved in vacuolar polyphosphate accumulation (PDB:3G3O)	22.242345783283408	0.013916495818321235	0.05516204331329003	Ia.4.RS39	COG5036	GC_00007326	0	0	0.25	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized membrane protein PF0508, contains N-terminal glycosyltransferase domain of PMT family	22.242345783283408	0.013916495818321235	0.05516204331329003	Ia.4.RS39	COG5305	GC_00008084	0	0	0.25	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)!!!Lipopolysaccharide biosynthesis protein (RgpF)	22.242345783283408	0.013916495818321235	0.05516204331329003	Ia.4.RS39	COG0463!!!COG3754	GC_00006655	0	0	0.25	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Uncaracterized surface protein containing fasciclin (FAS1) repeats (FAS1)	22.242345783283408	0.013916495818321235	0.05516204331329003	Ia.4.RS39	COG2335	GC_00005327	0	0	0.25	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway) (PrpF) (PDB:2H9F) (PUBMED:17567742)	21.995006927321498	0.01513005741073891	0.059805754709670755	Ia.3.II, Ia.3.V	COG2828	GC_00002985, GC_00003916	0	0	0	0	0	0	0.3333	0	0.125	0	0	2	5	4	2	1	7	6	47	8	3	7
Radical SAM superfamily maturase, SkfB/NifB/PqqE family (SkfB) (PDB:6Q2P) (PUBMED:23282011)	21.53464614708443	0.017658987947172113	0.06960869764217706	Ia.3.III, Ia.4.RS39, Ia.4.1483, Ia.3.VI, Ia.3.V	COG0535	GC_00001813, GC_00002088, GC_00002221, GC_00002521, GC_00002587, GC_00003537, GC_00003850, GC_00004016, GC_00004312, GC_00004430, GC_00004546, GC_00005006, GC_00005221, GC_00005608, GC_00005639, GC_00005865, GC_00005999, GC_00006261, GC_00006671, GC_00007296, GC_00007607, GC_00007622, GC_00007906, GC_00008073	0	1	0.75	0	1	0.1429	0.1667	0.5319	0.625	0.3333	0.1429	2	5	4	2	1	7	6	47	8	3	7
Mannose-6-phosphate isomerase, cupin superfamily (ManC) (PDB:1IPJ)	21.376130039916188	0.018618212096247744	0.07318706025679708	Ia.3.VI	COG0662	GC_00001666, GC_00001822, GC_00003917, GC_00004236, GC_00005266, GC_00005506	0	0	0.25	0	0	0	0	0.4468	0.125	0	0	2	5	4	2	1	7	6	47	8	3	7
Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)!!!tRNA G37 N-methylase Trm5 (Trm5) (PDB:2YX1)	21.353452097952875	0.018759378845718534	0.07333680246554303	Ia.3.III, Ia.1.I	COG0438!!!COG2520	GC_00004800, GC_00006301, GC_00008171	0	0.2	0	0	0	0	0	0	0	0	0.2857	2	5	4	2	1	7	6	47	8	3	7
Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain (DegQ) (PDB:2HGA) (PUBMED:29686141)!!!Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)	21.353452097952854	0.018759378845718665	0.07333680246554303	Ia.3.III, Ia.4.II	COG0265!!!COG0457	GC_00002957	0	0.2	0	0	0	0.2857	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted 2-oxoglutarate- and Fe(II)-dependent dioxygenase YbiX (PiuC) (PDB:3DKQ)	21.234720799613616	0.019515011179479756	0.07608181070794437	Ia.3.VI, Ia.3.V	COG3128	GC_00001396, GC_00001630, GC_00002741	0	0	0	0	0	0	0.3333	0.4894	0.625	0	0.1429	2	5	4	2	1	7	6	47	8	3	7
dTDP-glucose pyrophosphorylase (RmlA1) (PDB:1FXO)	21.118071524126673	0.020285124567691364	0.07886812092848308	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.3.II, Ia.3.V, Ia.3.I	COG1209	GC_00001367, GC_00002163, GC_00002925, GC_00005399, GC_00006760	0.5	0.8	1	0.5	0	0.2857	0.8333	0.3617	0.625	1	0.1429	2	5	4	2	1	7	6	47	8	3	7
dTDP-D-glucose 4,6-dehydratase (RfbB) (PDB:1G1A)	21.02603915289076	0.02091272274181241	0.08108666065830805	Ia.3.III, Ia.4.RS39, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG1088	GC_00001374, GC_00002397, GC_00003207, GC_00003677, GC_00003988, GC_00004314, GC_00004902, GC_00005239, GC_00005975, GC_00006008, GC_00006060, GC_00006492, GC_00006973, GC_00007243, GC_00007355, GC_00007449, GC_00007542, GC_00007550, GC_00007819, GC_00007961	0	0.8	1	0.5	0	0.4286	1	0.383	0.625	1	0.5714	2	5	4	2	1	7	6	47	8	3	7
Spore maturation protein CgeB	20.86403651286707	0.022061853137416054	0.08530982884386697	Ib.1, Ia.3.II, Ia.3.V, Ia.3.I, Ia.1.I	COG4641	GC_00002779, GC_00003885, GC_00004515, GC_00004910, GC_00005161, GC_00006527, GC_00006651, GC_00006669	1	0	0	0	0	0	0.1667	0.0851	0.125	0.3333	0.1429	2	5	4	2	1	7	6	47	8	3	7
Diacylglycerol kinase (DgkA) (PDB:2KDC)	20.64773256849308	0.023688364941698025	0.09135106588627721	Ia.3.II, Ia.3.VI	COG0818	GC_00001550	0	0	0	0	0	0	0.6667	0.2128	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Phosphoglycerol transferase MdoB/OpgB, AlkP superfamily (MdoB) (PDB:3LXQ)	20.485842725710793	0.024978225681032775	0.09606490579489091	Ia.3.II, Ia.3.VI	COG1368	GC_00001741, GC_00002829, GC_00003497, GC_00004302, GC_00007315	0	0	0	0	0	0	0.6667	0.234	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Zinc metallochaperone YeiR/ZagA and related GTPases, G3E family (YejR) (PDB:1NIJ) (PUBMED:19822009;31132310)	20.375336990098265	0.02589596499368284	0.09932603284638998	Ib.1, Ia.3.V	COG0523	GC_00002772, GC_00008148	0.5	0	0	0	0	0	0	0.0213	0.25	0	0	2	5	4	2	1	7	6	47	8	3	7
L-ascorbate lactonase UlaG, metallo-beta-lactamase superfamily (UlaG) (PDB:2WYM)	20.347096160509963	0.026135489697855445	0.0997072435390035	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V	COG2220	GC_00000015, GC_00002318, GC_00003587, GC_00004728, GC_00004850, GC_00007900, GC_00008057	1	1	1	1	1	1	1	1	1	0.6667	0.8571	2	5	4	2	1	7	6	47	8	3	7
Ribosomal protein S16 (RpsP) (PDB:4V4H)	20.347096160509963	0.026135489697855445	0.0997072435390035	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V	COG0228	GC_00000907	1	1	1	1	1	1	1	1	1	0.6667	0.8571	2	5	4	2	1	7	6	47	8	3	7
DNA-binding transcriptional regulator, Lrp family (Lrp) (PDB:1I1G)	20.17573948455772	0.027633627039178554	0.10514077881484246	Ib.1, Ia.3.VI	COG1522	GC_00001473, GC_00006816	0.5	0	0	0	0	0	0.1667	0.4043	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Glycosyltransferase, catalytic subunit of cellulose synthase and poly-beta-1,6-N-acetylglucosamine synthase (BcsA) (PDB:4HG6)	20.014840724519512	0.029112631837920105	0.11047273361429416	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.II, Ia.3.I	COG1215	GC_00001871, GC_00004783, GC_00005080, GC_00005354, GC_00005466, GC_00005583, GC_00006887, GC_00006995, GC_00007935	0.5	0.6	0.5	0	0	0	0.1667	0.0851	0.125	0.3333	0	2	5	4	2	1	7	6	47	8	3	7
Predicted O-linked N-acetylglucosamine transferase, SPINDLY family (Spy) (PDB:2JLB)	19.849978906201372	0.03070399540546759	0.11620155707973505	Ia.3.III, Ia.3.IV, Ia.4.1483, Ia.3.VI, Ia.1.I	COG3914	GC_00001525, GC_00002164, GC_00002599, GC_00002619, GC_00002777, GC_00002971, GC_00004127, GC_00004532, GC_00004898, GC_00004996, GC_00005194, GC_00006025, GC_00006211, GC_00006586, GC_00006603, GC_00006854, GC_00006963, GC_00007317, GC_00007351, GC_00007769	0	0.8	0	0.5	1	0.4286	0.3333	0.4894	0.125	0	0.8571	2	5	4	2	1	7	6	47	8	3	7
Histidinol-phosphate/aromatic aminotransferase or cobyric acid decarboxylase (HisC) (PDB:4R2N)!!!Choline kinase (PDB:4MND)	19.76381362604446	0.03156744001303076	0.11915243272823016	Ib.1, Ia.3.III	COG0079!!!COG1213	GC_00003741, GC_00007972	0.5	0.2	0	0	0	0	0	0.0213	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Predicted carbamoyl transferase, NodU family (PDB:3VEN)	19.56898024361562	0.033603313762837914	0.126501363715657	Ia.3.III, Ia.4.RS39, Ia.3.VI, Ia.3.V, Ia.1.I	COG2192	GC_00001376, GC_00002026, GC_00002507, GC_00003018, GC_00003199, GC_00003280, GC_00003343, GC_00003674, GC_00003852, GC_00004020, GC_00004233, GC_00004688, GC_00004731, GC_00005095, GC_00005465, GC_00005709, GC_00006027, GC_00006138, GC_00006847, GC_00007022, GC_00008046, GC_00008131	0.5	0.8	1	0.5	0	0	0.5	0.6596	0.625	0.3333	0.8571	2	5	4	2	1	7	6	47	8	3	7
Tetratricopeptide (TPR) repeat (TPR) (PDB:3AS4)!!!Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain (LapB) (PDB:4ZLH) (PUBMED:24187084;24266962)!!!Capsular polysaccharide biosynthesis protein	19.115564124076503	0.038819157966736524	0.14575108650835375	Ia.3.III, Ia.4.RS39	COG0457!!!COG2956!!!COG4421	GC_00003410	0	0.2	0.25	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
