gene_callers_id	source	accession	function	e_value
1080	COG20_CATEGORY	P!!!H	Inorganic ion transport and metabolism!!!Coenzyme transport and metabolism	0
1080	COG20_PATHWAY	COG0529!!!COG1056	Cysteine biosynthesis!!!NAD biosynthesis	6.43e-31
1081	COG20_FUNCTION	COG4638	Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)	3.95e-126
1081	COG20_CATEGORY	P!!!R	Inorganic ion transport and metabolism!!!General function prediction only	0
1082	COG20_FUNCTION	COG0685	5,10-methylenetetrahydrofolate reductase (MetF) (PDB:1B5T)	3.74e-44
1082	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1083	COG20_FUNCTION	COG0404	Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271)	2.24e-203
1083	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1083	COG20_PATHWAY	COG0404	Glycine cleavage	2.24e-203
1088	COG20_FUNCTION	COG2355	Zn-dependent dipeptidase, microsomal dipeptidase homolog (PDB:1ITQ) (PUBMED:14499931)	1.88e-156
1088	COG20_CATEGORY	O!!!E	Posttranslational modification, protein turnover, chaperones!!!Amino acid transport and metabolism	0
1089	COG20_FUNCTION	COG0041	Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase (PurE) (PDB:1D7A)	1.88e-65
1089	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
1089	COG20_PATHWAY	COG0041	Purine biosynthesis	1.88e-65
1090	COG20_FUNCTION	COG0026	Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase) (PurK) (PDB:1B6R)	1.62e-136
1090	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
1090	COG20_PATHWAY	COG0026	Purine biosynthesis	1.62e-136
1091	COG20_FUNCTION	COG1246	N-acetylglutamate synthase or related acetyltransferase, GNAT family (ArgA) (PDB:2R98)	6.82e-43
1091	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1091	COG20_PATHWAY	COG1246	Arginine biosynthesis	6.82e-43
1092	COG20_FUNCTION	COG1278	Cold shock protein, CspA family (CspC) (PDB:1C9O)	3.9e-32
1092	COG20_CATEGORY	K	Transcription	0
1093	COG20_FUNCTION	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH and related esterases, alpha/beta hydrolase fold (MenH) (PDB:4MYS)	7.36e-72
1093	COG20_CATEGORY	H!!!R	Coenzyme transport and metabolism!!!General function prediction only	0
1093	COG20_PATHWAY	COG0596	Menaquinone biosynthesis	7.36e-72
1094	COG20_FUNCTION	COG4101	Uncharacterized conserved protein, RmlC-like cupin domain (RmlC)	9.29e-17
1094	COG20_CATEGORY	R	General function prediction only	0
1095	COG20_FUNCTION	COG1794	Amino acid racemase YgeA (RacX) (PDB:5ELL)	3.48e-28
1095	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1098	COG20_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)	1.37e-96
1098	COG20_CATEGORY	G!!!E!!!R	Carbohydrate transport and metabolism!!!Amino acid transport and metabolism!!!General function prediction only	0
1100	COG20_FUNCTION	COG0404!!!COG0446	Glycine cleavage system protein T (aminomethyltransferase) (GcvT) (PDB:2GAH) (PUBMED:25433025;25505271)!!!NADPH-dependent 2,4-dienoyl-CoA reductase, sulfur reductase, or a related oxidoreductase (FadH2) (PDB:1VRQ)	0
1100	COG20_CATEGORY	E!!!I	Amino acid transport and metabolism!!!Lipid transport and metabolism	0
1100	COG20_PATHWAY	COG0404!!!COG0446	Glycine cleavage	0
1101	COG20_FUNCTION	COG4311	Sarcosine oxidase delta subunit (SoxD) (PDB:2GAH)	1.38e-25
1101	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1102	COG20_FUNCTION	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	1.42e-199
1102	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1103	COG20_FUNCTION	COG2759	Formyltetrahydrofolate synthetase (MIS1) (PDB:1EG7)	2.04e-285
1103	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
1105	COG20_FUNCTION	COG0240	Glycerol-3-phosphate dehydrogenase (GpsA) (PDB:1EVY)	6.32e-99
1105	COG20_CATEGORY	C	Energy production and conversion	0
1105	COG20_PATHWAY	COG0240	Isoprenoid biosynthesis	6.32e-99
1106	COG20_FUNCTION	COG5477	Predicted small integral membrane protein (PUBMED:15071504)	5.5e-34
1106	COG20_CATEGORY	S	Function unknown	0
1107	COG20_FUNCTION	COG0395	ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)	1.7e-155
1107	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
1108	COG20_FUNCTION	COG1175	ABC-type sugar transport system, permease component (UgpA) (PDB:3FH6)	1.1e-157
1108	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
1109	COG20_FUNCTION	COG3839	ABC-type sugar transport system, ATPase component MalK (MalK) (PDB:2ONK)	9.51e-165
1109	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
1110	COG20_FUNCTION	COG3839	ABC-type sugar transport system, ATPase component MalK (MalK) (PDB:2ONK)	2.25e-144
1110	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
1111	COG20_FUNCTION	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component (UgpB) (PDB:2Z8D)	3.14e-316
1111	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
1112	COG20_FUNCTION	COG0554	Glycerol kinase (GlpK) (PDB:2ZF5)	1.47e-212
1112	COG20_CATEGORY	C	Energy production and conversion	0
1113	COG20_FUNCTION	COG0665	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	6.89e-197
1113	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1115	COG20_FUNCTION	COG1171	Threonine deaminase (IlvA) (PDB:3IAU)	2.67e-91
1115	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1115	COG20_PATHWAY	COG1171	Isoleucine, leucine, valine biosynthesis	2.67e-91
1116	COG20_FUNCTION	COG0415	Deoxyribodipyrimidine photolyase (PhrB) (PDB:1TEZ)	1.47e-177
1116	COG20_CATEGORY	L	Replication, recombination and repair	0
1117	COG20_FUNCTION	COG0432	Thiamin phosphate synthase YjbQ, UPF0047 family (YjbQ) (PDB:1VE0)	1.19e-52
1117	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
1118	COG20_FUNCTION	COG1485	Cell division protein ZapE (Z ring-associated ATPase), AFG1 superfamily (ZapE)	8e-74
1118	COG20_CATEGORY	D	Cell cycle control, cell division, chromosome partitioning	0
1120	COG20_FUNCTION	COG1520	Outer membrane protein assembly factor BamB, contains PQQ-like beta-propeller repeat (PQQ) (PDB:6TJG)	1.02e-09
1120	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1122	COG20_FUNCTION	COG1048	Aconitase A (AcnA) (PDB:1ACO)	0
1122	COG20_CATEGORY	C	Energy production and conversion	0
1122	COG20_PATHWAY	COG1048	Lysine biosynthesisTCA cycle	0
1123	COG20_FUNCTION	COG1280	Threonine/homoserine/homoserine lactone efflux protein (RhtB)	1.65e-47
1123	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1124	COG20_FUNCTION	COG0073	tRNA-binding EMAP/Myf domain (EMAP) (PDB:1MKH)	3.59e-37
1124	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
1125	COG20_FUNCTION	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)	1.06e-132
1125	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1125	COG20_PATHWAY	COG0624	Arginine biosynthesis	1.06e-132
1126	COG20_FUNCTION	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	3.61e-225
1126	COG20_CATEGORY	I	Lipid transport and metabolism	0
1126	COG20_PATHWAY	COG1012	Proline degradation	3.61e-225
1127	COG20_FUNCTION	COG0010	Arginase/agmatinase family enzyme (SpeB) (PDB:1CEV)	2.46e-176
1127	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1127	COG20_PATHWAY	COG0010	Urea cycle	2.46e-176
1129	COG20_FUNCTION	COG0652	Peptidyl-prolyl cis-trans isomerase (rotamase) - cyclophilin family (PpiB) (PDB:4DGD)	3.25e-29
1129	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
1130	COG20_FUNCTION	COG1024!!!COG1250	Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)!!!3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ)	1.08e-189
1130	COG20_CATEGORY	I!!!I	Lipid transport and metabolism!!!Lipid transport and metabolism	0
1130	COG20_PATHWAY	COG1024!!!COG1250	Fatty acid biosynthesis!!!Fatty acid biosynthesis	1.08e-189
1131	COG20_FUNCTION	COG1177	ABC-type spermidine/putrescine transport system, permease component II (PotC)	6.81e-117
1131	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1132	COG20_FUNCTION	COG1176	ABC-type spermidine/putrescine transport system, permease component I (PotB)	6.44e-145
1132	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1133	COG20_FUNCTION	COG0687	Spermidine/putrescine-binding periplasmic protein (PotD) (PDB:1POT)	1.02e-99
1133	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1134	COG20_FUNCTION	COG3842	ABC-type Fe3+/spermidine/putrescine transport systems, ATPase component (PotA) (PDB:1Z47)	3.1e-164
1134	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1135	COG20_FUNCTION	COG0006	Xaa-Pro aminopeptidase (PepP) (PDB:1A16)	1.77e-138
1135	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1136	COG20_FUNCTION	COG3473	Maleate cis-trans isomerase (PDB:2DGD)	5.52e-51
1136	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
1137	COG20_FUNCTION	COG0413	Ketopantoate hydroxymethyltransferase (PanB) (PDB:3VAV)	1.23e-80
1137	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
1137	COG20_PATHWAY	COG0413	Pantothenate/CoA biosynthesis	1.23e-80
1138	COG20_FUNCTION	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)	8.65e-80
1138	COG20_CATEGORY	Q	Secondary metabolites biosynthesis, transport and catabolism	0
1139	COG20_FUNCTION	COG0518!!!COG0519	GMP synthase, glutamine amidotransferase domain (GuaA1) (PDB:4WIM)!!!GMP synthase, PP-ATPase domain/subunit (GuaA2) (PDB:4WIM)	4.94e-223
1139	COG20_CATEGORY	F!!!F	Nucleotide transport and metabolism!!!Nucleotide transport and metabolism	0
1139	COG20_PATHWAY	COG0518!!!COG0519	Purine biosynthesis!!!Purine biosynthesis	4.94e-223
1141	COG20_FUNCTION	COG0516	IMP dehydrogenase/GMP reductase (GuaB) (PDB:1B3O)	4.12e-122
1141	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
1141	COG20_PATHWAY	COG0516	Purine biosynthesis	4.12e-122
1142	COG20_FUNCTION	COG0293	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ (RlmE) (PDB:1EIZ) (PUBMED:10769117)	2.25e-48
1142	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
1142	COG20_PATHWAY	COG0293	23S rRNA modification	2.25e-48
1143	COG20_FUNCTION	COG1442	Lipopolysaccharide biosynthesis protein, LPS:glycosyltransferase (RfaJ) (PDB:1G9R)	1.3e-54
1143	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1144	COG20_FUNCTION	COG1183	Phosphatidylserine synthase (PssA)	2.94e-72
1144	COG20_CATEGORY	I	Lipid transport and metabolism	0
1145	COG20_FUNCTION	COG0688	Phosphatidylserine decarboxylase (Psd) (PDB:6L06)	3.24e-91
1145	COG20_CATEGORY	I	Lipid transport and metabolism	0
1145	COG20_PATHWAY	COG0688	Phospholipid biosynthesis	3.24e-91
1146	COG20_FUNCTION	COG0538	Isocitrate dehydrogenase (Icd) (PDB:1IDD)	1.64e-252
1146	COG20_CATEGORY	C	Energy production and conversion	0
1146	COG20_PATHWAY	COG0538	TCA cycle	1.64e-252
1147	COG20_FUNCTION	COG0013	Alanyl-tRNA synthetase (AlaS) (PDB:2ZZE)	0
1147	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
1147	COG20_PATHWAY	COG0013	Aminoacyl-tRNA synthetases	0
1148	COG20_FUNCTION	COG0468	RecA/RadA recombinase (RecA) (PDB:1B22)	2.47e-200
1148	COG20_CATEGORY	L	Replication, recombination and repair	0
1149	COG20_FUNCTION	COG1538	Outer membrane protein TolC (TolC) (PDB:1EK9)	2.1e-47
1149	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1150	COG20_FUNCTION	COG4240	Pantothenate kinase-related protein Tda10 (topoisomerase I damage affected protein) (Tda10) (PDB:1ODF)	3.12e-73
1150	COG20_CATEGORY	R	General function prediction only	0
1151	COG20_FUNCTION	COG3791	Uncharacterized conserved protein (PDB:1X6M)	2.22e-47
1151	COG20_CATEGORY	S	Function unknown	0
1153	COG20_FUNCTION	COG1974	SOS-response transcriptional repressor LexA (RecA-mediated autopeptidase) (LexA) (PDB:1AY9)	7.82e-41
1153	COG20_CATEGORY	K!!!T	Transcription!!!Signal transduction mechanisms	0
1154	COG20_FUNCTION	COG0389	Nucleotidyltransferase/DNA polymerase DinP involved in DNA repair (DinP) (PDB:4R8U) (PUBMED:16544291)	3.04e-151
1154	COG20_CATEGORY	L	Replication, recombination and repair	0
1155	COG20_FUNCTION	COG0463	Glycosyltransferase involved in cell wall bisynthesis (WcaA) (PDB:5MLZ)	1.66e-65
1155	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1156	COG20_FUNCTION	COG1807	PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA (ArnT) (PDB:5EZM) (PUBMED:16226890;31233657;32706435)	4.12e-145
1156	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1157	COG20_FUNCTION	COG1734	RNA polymerase-binding transcription factor DksA (DksA) (PDB:1TJL)	7.03e-49
1157	COG20_CATEGORY	K	Transcription	0
1158	COG20_FUNCTION	COG0625	Glutathione S-transferase (GstA) (PDB:1A0F)	1.4e-107
1158	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
1159	COG20_FUNCTION	COG0492	Thioredoxin reductase (TrxB) (PDB:3FBS)	2.78e-143
1159	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
1160	COG20_FUNCTION	COG0633	Ferredoxin (Fdx) (PDB:1KRH)	6.35e-46
1160	COG20_CATEGORY	C	Energy production and conversion	0
1161	COG20_FUNCTION	COG5524	Bacteriorhodopsin	8.01e-108
1161	COG20_CATEGORY	C!!!T	Energy production and conversion!!!Signal transduction mechanisms	0
1162	COG20_FUNCTION	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase (Acs) (PDB:4B2O) (PUBMED:14638756)	0
1162	COG20_CATEGORY	I	Lipid transport and metabolism	0
1163	COG20_FUNCTION	COG2076	Multidrug transporter EmrE and related cation transporters (EmrE) (PDB:2I68)	9.78e-26
1163	COG20_CATEGORY	V	Defense mechanisms	0
1164	COG20_FUNCTION	COG0044	Dihydroorotase or related cyclic amidohydrolase (AllB) (PDB:1J79)	4.96e-176
1164	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
1164	COG20_PATHWAY	COG0044	Pyrimidine biosynthesis	4.96e-176
1165	COG20_FUNCTION	COG0354	Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters (YgfZ) (PDB:1NRK) (PUBMED:27941785;22081392)	9.39e-67
1165	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
1166	COG20_FUNCTION	COG0379	Quinolinate synthase (NadA) (PDB:4HHE) (PUBMED:24498065)	7.99e-176
1166	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
1166	COG20_PATHWAY	COG0379	NAD biosynthesis	7.99e-176
1167	COG20_FUNCTION	COG0157	Nicotinate-nucleotide pyrophosphorylase (NadC) (PDB:1O4U)	3.37e-83
1167	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
1167	COG20_PATHWAY	COG0157	NAD biosynthesis	3.37e-83
1168	COG20_FUNCTION	COG4696	NTP pyrophosphatase, MazG superfamily (MazG2) (PDB:3NL9)	1.44e-59
1168	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
1169	COG20_FUNCTION	COG0114	Fumarate hydratase class II (FumC) (PDB:1KQ7)	1.02e-245
1169	COG20_CATEGORY	C	Energy production and conversion	0
1169	COG20_PATHWAY	COG0114	TCA cycle	1.02e-245
1171	COG20_FUNCTION	COG0210	Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR)	1.88e-281
1171	COG20_CATEGORY	L	Replication, recombination and repair	0
1172	COG20_FUNCTION	COG0006	Xaa-Pro aminopeptidase (PepP) (PDB:1A16)	1.05e-164
1172	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1173	COG20_FUNCTION	COG0272	NAD-dependent DNA ligase (Lig) (PDB:5TT5)	1.83e-242
1173	COG20_CATEGORY	L	Replication, recombination and repair	0
1174	COG20_FUNCTION	COG4105	Outer membrane protein assembly factor BamD, BamD/ComL family (BamD) (PDB:2YHC)	2.85e-61
1174	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1175	COG20_FUNCTION	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase (LpxC) (PDB:1P42)	3.27e-86
1175	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1175	COG20_PATHWAY	COG0774	Lipid A biosynthesis	3.27e-86
1177	COG20_FUNCTION	COG1589	Cell division septal protein FtsQ (FtsQ) (PDB:1YR1)	3.66e-10
1177	COG20_CATEGORY	D	Cell cycle control, cell division, chromosome partitioning	0
1178	COG20_FUNCTION	COG1181	D-alanine-D-alanine ligase or related ATP-grasp enzyme (DdlA) (PDB:1E4E)	3.75e-95
1178	COG20_CATEGORY	M!!!R	Cell wall/membrane/envelope biogenesis!!!General function prediction only	0
1178	COG20_PATHWAY	COG1181	Mureine biosynthesis	3.75e-95
1179	COG20_FUNCTION	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase (MurB) (PDB:2MBR)	1.13e-82
1179	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1179	COG20_PATHWAY	COG0812	Mureine biosynthesis	1.13e-82
1180	COG20_FUNCTION	COG0773	UDP-N-acetylmuramate-alanine ligase MurC and related ligases, MurC/Mpl family (MurC)	6.78e-162
1180	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1180	COG20_PATHWAY	COG0773	Mureine biosynthesis	6.78e-162
1181	COG20_FUNCTION	COG0707	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase (MurG) (PDB:1F0K)	9.5e-59
1181	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1181	COG20_PATHWAY	COG0707	Mureine biosynthesis	9.5e-59
1182	COG20_FUNCTION	COG0772	Peptodoglycan polymerase FtsW/RodA/SpoVE (FtsW) (PDB:6BAR) (PUBMED:30692671)	3.13e-71
1182	COG20_CATEGORY	D	Cell cycle control, cell division, chromosome partitioning	0
1183	COG20_FUNCTION	COG0771	UDP-N-acetylmuramoylalanine-D-glutamate ligase (MurD) (PDB:1E0D)	4.98e-89
1183	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1183	COG20_PATHWAY	COG0771	Mureine biosynthesis	4.98e-89
1184	COG20_FUNCTION	COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase (Rfe) (PDB:4J72)	2.11e-147
1184	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1184	COG20_PATHWAY	COG0472	Mureine biosynthesis	2.11e-147
1185	COG20_FUNCTION	COG0769!!!COG0770	UDP-N-acetylmuramyl tripeptide synthase (MurE) (PDB:1E8C)!!!UDP-N-acetylmuramyl pentapeptide synthase (MurF) (PDB:4CVK)	1.99e-109
1185	COG20_CATEGORY	M!!!M	Cell wall/membrane/envelope biogenesis!!!Cell wall/membrane/envelope biogenesis	0
1185	COG20_PATHWAY	COG0769!!!COG0770	Mureine biosynthesis!!!Mureine biosynthesis	1.99e-109
1186	COG20_FUNCTION	COG0768	Cell division protein FtsI, peptidoglycan transpeptidase (Penicillin-binding protein 2) (FtsI) (PDB:6HZQ)	2.02e-114
1186	COG20_CATEGORY	D!!!M	Cell cycle control, cell division, chromosome partitioning!!!Cell wall/membrane/envelope biogenesis	0
1188	COG20_FUNCTION	COG0275	16S rRNA C1402 N4-methylase RsmH (RmsH) (PDB:1M6Y)	2.13e-70
1188	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
1188	COG20_PATHWAY	COG0275	16S rRNA modification	2.13e-70
1189	COG20_FUNCTION	COG0206	Cell division GTPase FtsZ (FtsZ) (PDB:1FSZ)	3.37e-171
1189	COG20_CATEGORY	D	Cell cycle control, cell division, chromosome partitioning	0
1190	COG20_FUNCTION	COG2001	MraZ, DNA-binding transcriptional regulator and inhibitor of RsmH methyltransferase activity (MraZ) (PDB:1N0E)	5.24e-69
1190	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
1191	COG20_FUNCTION	COG3023	N-acetyl-anhydromuramyl-L-alanine amidase AmpD (AmpD) (PDB:2Y28)	3.83e-73
1191	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1192	COG20_FUNCTION	COG2853	Lipoprotein subunit MlaA of the ABC-type intermembrane phospholipid transporter Mla (MlaA) (PDB:5NUQ)	1.82e-64
1192	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1193	COG20_FUNCTION	COG2854	Periplasmic subunit MlaC of the ABC-type intermembrane phospholipid transporter Mla (MlaC) (PDB:2QGU) (PUBMED:19383799)	4.42e-31
1193	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1195	COG20_FUNCTION	COG0568	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32) (RpoD) (PDB:1SIG)	1.76e-275
1195	COG20_CATEGORY	K	Transcription	0
1195	COG20_PATHWAY	COG0568	RNA polymerase	1.76e-275
1196	COG20_FUNCTION	COG0358	DNA primase (bacterial type) (DnaG) (PDB:3B39) (PUBMED:28128549)	2.19e-134
1196	COG20_CATEGORY	L	Replication, recombination and repair	0
1197	COG20_FUNCTION	COG1610	Uncharacterized conserved protein YqeY, may have tRNA amino acid amidase activity (YqeY) (PDB:1NG6)	4.56e-42
1197	COG20_CATEGORY	R	General function prediction only	0
1198	COG20_FUNCTION	COG0505	Carbamoylphosphate synthase small subunit (CarA) (PDB:1C30)	5.04e-166
1198	COG20_CATEGORY	E!!!F	Amino acid transport and metabolism!!!Nucleotide transport and metabolism	0
1198	COG20_PATHWAY	COG0505	Arginine biosynthesis	5.04e-166
1199	COG20_FUNCTION	COG0458	Carbamoylphosphate synthase large subunit (CarB) (PDB:1C30)	0
1199	COG20_CATEGORY	E!!!F	Amino acid transport and metabolism!!!Nucleotide transport and metabolism	0
1199	COG20_PATHWAY	COG0458	Arginine biosynthesis	0
1202	COG20_FUNCTION	COG3660	Mitochondrial fission protein ELM1 (ELM1)	7.61e-86
1202	COG20_CATEGORY	D	Cell cycle control, cell division, chromosome partitioning	0
1203	COG20_FUNCTION	COG0492	Thioredoxin reductase (TrxB) (PDB:3FBS)	3.66e-162
1203	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
1204	COG20_FUNCTION	COG0169	Shikimate 5-dehydrogenase (AroE) (PDB:1NPD)	7.39e-55
1204	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1204	COG20_PATHWAY	COG0169	Aromatic amino acid biosynthesis	7.39e-55
1205	COG20_FUNCTION	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)	1.45e-220
1205	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
1206	COG20_FUNCTION	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)	3.19e-49
1206	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
1207	COG20_FUNCTION	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)	4.84e-157
1207	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
1208	COG20_FUNCTION	COG0673	Predicted dehydrogenase (MviM) (PDB:3UUW)	8.84e-89
1208	COG20_CATEGORY	R	General function prediction only	0
1209	COG20_FUNCTION	COG0436	Aspartate/methionine/tyrosine aminotransferase (AspB) (PDB:2O0R)	5.77e-191
1209	COG20_CATEGORY	E	Amino acid transport and metabolism	0
1209	COG20_PATHWAY	COG0436	Isoleucine, leucine, valine biosynthesis	5.77e-191
1210	COG20_FUNCTION	COG0556	Excinuclease UvrABC helicase subunit UvrB (UvrB) (PDB:1C4O)	0
1210	COG20_CATEGORY	L	Replication, recombination and repair	0
1211	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	5.87e-87
1211	COG20_CATEGORY	I	Lipid transport and metabolism	0
1211	COG20_PATHWAY	COG1028	Fatty acid biosynthesis	5.87e-87
1212	COG20_FUNCTION	COG1539	Dihydroneopterin aldolase (FolB) (PDB:1B9L)	6.08e-20
1212	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
1212	COG20_PATHWAY	COG1539	Folate biosynthesis	6.08e-20
1213	COG20_FUNCTION	COG0322	Excinuclease UvrABC, nuclease subunit (UvrC) (PDB:2NRT) (PUBMED:24513124)	8.05e-231
1213	COG20_CATEGORY	L	Replication, recombination and repair	0
1214	COG20_FUNCTION	COG0558	Phosphatidylglycerophosphate synthase (PgsA) (PDB:4MND)	9.65e-69
1214	COG20_CATEGORY	I	Lipid transport and metabolism	0
1214	COG20_PATHWAY	COG0558	Phospholipid biosynthesis	9.65e-69
1215	COG20_FUNCTION	COG0115	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase (IlvE) (PDB:1A3G)	1.01e-151
1215	COG20_CATEGORY	E!!!H	Amino acid transport and metabolism!!!Coenzyme transport and metabolism	0
1215	COG20_PATHWAY	COG0115	Isoleucine, leucine, valine biosynthesis	1.01e-151
1216	COG20_FUNCTION	COG1846	DNA-binding transcriptional regulator, MarR family (MarR) (PDB:1JGS)	4.88e-35
1216	COG20_CATEGORY	K	Transcription	0
1217	COG20_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	9.76e-86
1217	COG20_CATEGORY	T!!!K	Signal transduction mechanisms!!!Transcription	0
1218	COG20_FUNCTION	COG2205	K+-sensing histidine kinase KdpD (KdpD) (PDB:2KSF)	2.13e-119
1218	COG20_CATEGORY	T	Signal transduction mechanisms	0
1220	COG20_FUNCTION	COG0682	Prolipoprotein diacylglyceryltransferase (Lgt) (PDB:5AZB)	2.33e-85
1220	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
1221	COG20_FUNCTION	COG1565	SAM-dependent methyltransferase, MidA family (MidA) (PDB:1ZKD)	1.83e-70
1221	COG20_CATEGORY	R	General function prediction only	0
1222	COG20_FUNCTION	COG1496	Copper oxidase (laccase) domain (YfiH) (PDB:1RV9)	8.61e-63
