Category	Specific.function	FUNCTION	source	accession_check	Notes	Order
amino acids	serine (with agxt)	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	KOfam	K00830		175
amino acids	threonine	homoserine kinase type II [EC:2.7.1.39]	KOfam	K02204		176
amino acids	threonine	homoserine dehydrogenase [EC:1.1.1.3]	KOfam	K00003		177
amino acids	threonine	threonine synthase [EC:4.2.3.1]	KOfam	K01733		178
amino acids	threonine	aspartate kinase [EC:2.7.2.4]	KOfam	K00928		179
amino acids	threonine	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	KOfam	K00133		180
amino acids	asparagine (via a tRNA dependent transamidation mechanism)	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]	KOfam	K01953		181
amino acids	asparagine (via a tRNA dependent transamidation mechanism)	aspartate--ammonia ligase [EC:6.3.1.1]	KOfam	NA		182
amino acids	asparagine (via a tRNA dependent transamidation mechanism)	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	KOfam	K02434		183
amino acids	asparagine (via a tRNA dependent transamidation mechanism)	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	KOfam	K02435		184
amino acids	asparagine (via a tRNA dependent transamidation mechanism)	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	KOfam	K02433		185
amino acids	asparagine (via a tRNA dependent transamidation mechanism)	Aspartyl/asparaginyl-tRNA synthetase	COG20_FUNCTION	NA		186
amino acids	glutamine	glutamine synthetase [EC:6.3.1.2]	KOfam	K01915		187
amino acids	glycine (introconversion with serine)	glycine hydroxymethyltransferase [EC:2.1.2.1]	KOfam	K00600		188
amino acids	glycine (with agxt)	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	KOfam	K00830		189
amino acids	"glycine (from threonine, see note from Tripp et al., 2009)"	threonine aldolase [EC:4.1.2.48]	KOfam	K01620	"Note in Tripp et al., 2009, growth experiments show that threonine aldolase did not satisfy cellular glycine and serine demands"	190
amino acids	proline	glutamate 5-kinase [EC:2.7.2.11]	KOfam	K00931		191
amino acids	proline	Pyrroline-5-carboxylate reductase (ProC) (PDB:3GT0) (PUBMED:22125496;26507882)	COG20_FUNCTION	COG0345	K00286; EC:1.5.1.2	192
amino acids	proline	Gamma-glutamyl phosphate reductase (ProA) (PDB:4GHK)	COG20_FUNCTION	COG0014	K00147; EC:1.2.1.41	193
amino acids	selenocysteine	L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]	KOfam	NA	K01042; EC 2.9.1.1	194
amino acids	"cysteine (Cysteine biosynthesis, serine => cysteine)"	serine O-acetyltransferase [EC:2.3.1.30]	KOfam	K00640		195
amino acids	"cysteine (Cysteine biosynthesis, serine => cysteine)"	Cysteine synthase (CysK) (PDB:1FCJ)	COG20_FUNCTION	COG0031	K01738	196
amino acids	"cysteine (Cysteine biosynthesis, serine => cysteine)"	cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase	KOfam	NA	K01738	197
amino acids	"cysteine (Cysteine biosynthesis, serine => cysteine)"	L-3-cyanoalanine synthase/ cysteine synthase	KOfam	NA	K13034	198
amino acids	"cysteine (Cysteine biosynthesis, serine => cysteine)"	O-acetylhomoserine/O-acetylserine sulfhydrylase [EC:2.5.1.49 2.5.1.47]	KOfam	NA	K17069	199
amino acids	"cysteine (Cysteine biosynthesis, methionine => cysteine)"	S-adenosylmethionine synthetase [EC:2.5.1.6]	KOfam	K00789	K00789	200
amino acids	"cysteine (Cysteine biosynthesis, methionine => cysteine)"	putative AdoMet-dependent methyltransferase	KOfam	NA	K17462 	201
amino acids	"cysteine (Cysteine biosynthesis, methionine => cysteine)"	adenosylhomocysteine nucleosidase [EC:3.2.2.9]	KOfam	K01243	K01243 	202
amino acids	"cysteine (Cysteine biosynthesis, methionine => cysteine)"	S-ribosylhomocysteine lyase [EC:4.4.1.21]	KOfam	NA	K07173	203
amino acids	"cysteine (Cysteine biosynthesis, methionine => cysteine)"	cystathionine beta-synthase (O-acetyl-L-serine)	KOfam	NA	K17216	204
amino acids	"cysteine (Cysteine biosynthesis, methionine => cysteine)"	cystathionine gamma-lyase / homocysteine desulfhydrase	KOfam	NA	K17217	205
amino acids	"cysteine (Cysteine biosynthesis, methionine => cysteine)"	Cystathionine beta-lyase/cystathionine gamma-synthase (MetC) (PDB:1CL1)	COG20_FUNCTION	COG0626		206
amino acids	alanine	aspartate 4-decarboxylase	KOfam	NA	K09758	207
amino acids	alanine	valine--pyruvate aminotransferase	KOfam	NA	K00835	208
amino acids	alanine	alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]	KOfam	NA	"K14260/	COG0436"	209
amino acids	alanine	Aspartate/methionine/tyrosine aminotransferase (AspB) (PDB:2O0R)	COG20_FUNCTION	COG0436	K00814	210
amino acids	alanine	cysteine desulfurase [EC:2.8.1.7]	KOfam	K04487		211
amino acids	alanine	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	KOfam	K11717		212
amino acids	alanine	alanine dehydrogenase [EC:1.4.1.1]	KOfam	K00259		213
amino acids	isoleucine	dihydroxy-acid dehydratase [EC:4.2.1.9]	KOfam	K01687		214
amino acids	isoleucine	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	KOfam	K01652		215
amino acids	isoleucine	branched-chain amino acid aminotransferase [EC:2.6.1.42]	KOfam	K00826		216
amino acids	isoleucine	ketol-acid reductoisomerase [EC:1.1.1.86]	KOfam	K00053		217
amino acids	isoleucine	acetolactate synthase I/III small subunit [EC:2.2.1.6]	KOfam	K01653		218
amino acids	isoleucine	Threonine deaminase (IlvA) (PDB:3IAU)	COG20_FUNCTION	COG1171	K17989; EC:4.3.1.17 4.3.1.19	219
amino acids	leucine	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	KOfam	K00052		220
amino acids	leucine	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	KOfam	K01704		221
amino acids	leucine	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	KOfam	K01703		222
amino acids	leucine	2-isopropylmalate synthase [EC:2.3.3.13]	KOfam	K01649		223
amino acids	leucine	branched-chain amino acid aminotransferase [EC:2.6.1.42]	KOfam	K00826		224
amino acids	methionine	aspartate kinase [EC:2.7.2.4]	KOfam	K00928		225
amino acids	methionine	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	KOfam	K00133		226
amino acids	methionine	homoserine dehydrogenase [EC:1.1.1.3]	KOfam	K00003		227
amino acids	methionine	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	KOfam	K00641		228
amino acids	methionine	Cystathionine beta-lyase/cystathionine gamma-synthase (MetC) (PDB:1CL1)	COG20_FUNCTION	COG0626	K01739/ K01760	229
amino acids	methionine	Methionine synthase II (cobalamin-independent) (MetE) (PDB:1T7L)	COG20_FUNCTION	COG0620	K00549	230
amino acids	methionine	"Methionine synthase I (cobalamin-dependent), methyltransferase domain (MetH1) (PDB:1LT7)"	COG20_FUNCTION	COG0646	K00548	231
amino acids	methionine	betaine-homocysteine S-methyltransferase [EC:2.1.1.5]	KOfam	K00544		232
amino acids	methionine	Homocysteine/selenocysteine methylase (S-methylmethionine-dependent) (MHT1) (PDB:5DML)	COG20_FUNCTION	COG2040	K00547	233
amino acids	methionine	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	KOfam	K01740		234
amino acids	methionine	homoserine dehydrogenase [EC:1.1.1.3]	KOfam	K00003		235
amino acids	methionine	aspartate kinase [EC:2.7.2.4]	KOfam	K00928		236
amino acids	methionine	homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]	KOfam	K00641		237
amino acids	methionine	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	KOfam	K00133		238
amino acids	phenylalanine	Chorismate mutase (PheA) (PDB:1ECM)	COG20_FUNCTION	COG1605	K14170	239
amino acids	phenylalanine	Prephenate dehydratase (PheA2) (PDB:1PHZ)	COG20_FUNCTION	COG0077	K14170/K01713	240
amino acids	phenylalanine	prephenate dehydratase [EC:4.2.1.51]	KOfam	K04518		241
amino acids	phenylalanine	aspartate aminotransferase [EC:2.6.1.1]	KOfam	K00812	note: could fill step for EC:2.6.1.57	242
amino acids	phenylalanine	histidinol-phosphate aminotransferase [EC:2.6.1.9]	KOfam	K00817	note: could fill step for EC:2.6.1.57	243
amino acids	phenylalanine	aromatic amino acid aminotransferase II [EC:2.6.1.58 2.6.1.28]	KOfam	NA	K05821/COG1167	244
amino acids	phenylalanine	phenylalanine dehydrogenase [EC:1.4.1.20]	KOfam	NA	K00270	245
amino acids	phenylalanine	aromatic-amino-acid transaminase [EC:2.6.1.57]	KOfam	NA	COG1448/K00832	246
amino acids	phenylalanine	aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]	KOfam	NA	K00838/COG1167	247
amino acids	tyrosine	Chorismate mutase (PheA) (PDB:1ECM)	COG20_FUNCTION	COG1605	K14170	248
amino acids	tyrosine	Prephenate dehydrogenase (TyrA) (PDB:2F1K)	COG20_FUNCTION	COG0287	K14187	249
amino acids	tyrosine	prephenate dehydrogenase [EC:1.3.1.12]	KOfam	K04517		250
amino acids	tyrosine	aspartate aminotransferase [EC:2.6.1.1]	KOfam	K00812	Note: on Kegg map 00400 this could fill the last step EC:2.6.1.1	251
amino acids	tryptophan	anthranilate synthase component II [EC:4.1.3.27]	KOfam	K01658		252
amino acids	tryptophan	anthranilate synthase component I [EC:4.1.3.27]	KOfam	K01657		253
amino acids	tryptophan	anthranilate phosphoribosyltransferase [EC:2.4.2.18]	KOfam	K00766		254
amino acids	tryptophan	Indole-3-glycerol phosphate synthase (TrpC) (PDB:6BMA)	COG20_FUNCTION	COG0134	K01609	255
amino acids	tryptophan	Phosphoribosylanthranilate isomerase (TrpF) (PDB:1DL3)	COG20_FUNCTION	COG0135	K01817	256
amino acids	tryptophan	tryptophan synthase alpha chain [EC:4.2.1.20]	KOfam	K01695		257
amino acids	tryptophan	Tryptophan synthase beta chain (TrpB) (PDB:2DH5)	COG20_FUNCTION	COG0133	K01696	258
amino acids	valine	dihydroxy-acid dehydratase [EC:4.2.1.9]	KOfam	K01687		259
amino acids	valine	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	KOfam	K01652		260
amino acids	valine	branched-chain amino acid aminotransferase [EC:2.6.1.42]	KOfam	K00826		261
amino acids	valine	ketol-acid reductoisomerase [EC:1.1.1.86]	KOfam	K00053		262
amino acids	valine	acetolactate synthase I/III small subunit [EC:2.2.1.6]	KOfam	K01653		263
Vitamins and co-factors	Thiamine	phosphomethylpyrimidine synthase [EC:4.1.99.17]	KOfam	NA	K03147_COG0422_missing thiC_Carinin_et_al_2014	264
Vitamins and co-factors	Thiamine	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	KOfam	K00941		265
Vitamins and co-factors	Thiamine	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	KOfam	K00788		266
Vitamins and co-factors	Thiamine	thiamine-monophosphate kinase [EC:2.7.4.16]	KOfam	K00946		267
Vitamins and co-factors	Thiamine	tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]	KOfam	NA	K03151	268
Vitamins and co-factors	Thiamine	2-iminoacetate synthase	COG20_FUNCTION	NA	COG1060/ K03150	269
Vitamins and co-factors	Thiamine	Thiamine monophosphate synthase (ThiE) (PDB:1G4T) (PUBMED:19060138)	COG20_FUNCTION	COG0352	K10810	270
Vitamins and co-factors	Thiamine	Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	COG20_FUNCTION	COG0665	K03153	271
Vitamins and co-factors	Thiamine	thiazole synthase [EC:2.8.1.10]	KOfam	K03149		272
Vitamins and co-factors	Thiamine	alkaline phosphatase [EC:3.1.3.1]	KOfam	NA	"K01077, cannot turn thiamine phosphate to thiamine"	273
Vitamins and co-factors	Thiamine	acid phosphatase	KOfam	NA	"K01078, cannot turn thiamine phosphate to thiamine"	274
Vitamins and co-factors	Thiamine	Molybdopterin or thiamine biosynthesis adenylyltransferase (ThiF) (PDB:1ZUD) (PUBMED:32239579)	COG20_FUNCTION	COG0476	K03148	275
Vitamins and co-factors	Thiamine	thiaminase (transcriptional activator TenA) [EC:3.5.99.2]	KOfam	K03707		276
Vitamins and co-factors	Thiamine	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	KOfam	K00788		277
Vitamins and co-factors	Thiamine	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	KOfam	NA	"K06949, cannot turn thiamine phosphate to thiamine"	278
Vitamins and co-factors	Thiamine	sulfur carrier protein	KOfam	K03154		279
Vitamins and co-factors	Thiamine	cysteine desulfurase [EC:2.8.1.7]	KOfam	K04487		280
Vitamins and co-factors	Thiamine	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]	KOfam	K11717		281
Vitamins and co-factors	Thiamine	thiamine transport system substrate-binding protein	KOfam	NA		282
Vitamins and co-factors	pantothenate (vitamin B5)	pantoate--beta-alanine ligase [EC:6.3.2.1]	KOfam	K01918		283
Vitamins and co-factors	pantothenate (vitamin B5)	3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]	KOfam	K00606		284
Vitamins and co-factors	pantothenate (vitamin B5)	branched-chain amino acid aminotransferase [EC:2.6.1.42]	KOfam	K00826		285
Vitamins and co-factors	pantothenate (vitamin B5)	2-dehydropantoate 2-reductase [EC:1.1.1.169]	KOfam	K00077	"panE, missing from most groups "	286
Vitamins and co-factors	pantothenate (vitamin B5)	Ketol-acid reductoisomerase (IlvC) (PDB:1NP3)	COG20_FUNCTION	COG0059	K00053	287
Vitamins and co-factors	pantothenate (vitamin B5)	aspartate 1-decarboxylase [EC:4.1.1.11]	KOfam	NA	K01579; EC:4.1.1.11; missing from all groups	288
Vitamins and co-factors	pantothenate (vitamin B5)	sulfinoalanine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.29 4.1.1.11]	KOfam	NA	K18966	289
Vitamins and co-factors	pantothenate (vitamin B5)	aspartate 1-decarboxylase [EC:4.1.1.11]	KOfam	NA	K24264	290
Vitamins and co-factors	pantothenate (vitamin B5)	Panthothenate synthetase (PanC) (PDB:1DIN) (PUBMED:17968677)	COG20_FUNCTION	COG0414	K13799	291
Vitamins and co-factors	pantothenate (vitamin B5)	Cytidylate kinase (Cmk) (PDB:3R20) (PUBMED:19111750;25691594;28928205)	COG20_FUNCTION	COG0283	K13799	292
Vitamins and co-factors	pantothenate (vitamin B5)	tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]	KOfam	NA	COG0076	293
Vitamins and co-factors	pantothenate (vitamin B5)	polyamine oxidase [EC:1.5.3.17 1.5.3.-]	KOfam	NA	K17839; EC 1.5.3.17 missing from all groups 	294
Vitamins and co-factors	pantothenate (vitamin B5)	polyamine oxidase [EC:1.5.3.17]	KOfam	NA	K13367; EC 1.5.3.17 missing from all groups	295
Vitamins and co-factors	pantothenate (vitamin B5)	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	COG20_FUNCTION	COG1012	K00128	296
Vitamins and co-factors	pyridoxine (Vitamin B6)	pyridoxine 5-phosphate synthase [EC:2.6.99.2]	KOfam	K03474		297
Vitamins and co-factors	pyridoxine (Vitamin B6)	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	KOfam	K00275		298
Vitamins and co-factors	pyridoxine (Vitamin B6)	pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]	KOfam	NA	K06215/COG0214	299
Vitamins and co-factors	pyridoxine (Vitamin B6)	pyridoxine kinase [EC:2.7.1.35]	KOfam	NA	K00868/COG2240	300
Vitamins and co-factors	pyridoxine (Vitamin B6)	pyridoxal phosphatase [EC:3.1.3.74]	KOfam	NA	K07758/ K13248	301
Vitamins and co-factors	pyridoxine (Vitamin B6)	4-hydroxy-L-threonine phosphate dehydrogenase PdxA (PdxA) (PDB:1PS6)	COG20_FUNCTION	COG1995	K00097; EC:1.1.1.262	302
Vitamins and co-factors	pyridoxine (Vitamin B6)	phosphoserine aminotransferase [EC:2.6.1.52]	KOfam	NA	K00831; missing serC	303
Vitamins and co-factors	pyridoxine (Vitamin B6)	Phosphoglycerate dehydrogenase or related dehydrogenase (SerA) (PDB:3OET)	COG20_FUNCTION	COG0111	K03473; EC:1.1.1.290	304
Vitamins and co-factors	pyridoxine (Vitamin B6)	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (GapA) (PDB:3ZDF)	COG20_FUNCTION	COG0057	K03472; EC:1.2.1.72	305
Vitamins and co-factors	biotin	biotin synthase [EC:2.8.1.6]	KOfam	NA	COG0502; missing [EC:2.8.1.6]	306
Vitamins and co-factors	biotin	dethiobiotin synthetase [EC:6.3.3.3]	KOfam	NA	K01935/K19562/COG0132; missing [EC:6.3.3.3]	307
Vitamins and co-factors	biotin	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (BioA) (PDB:1MLY)	COG20_FUNCTION	COG0161	K19563	308
Vitamins and co-factors	biotin	7-keto-8-aminopelargonate synthetase or related enzyme (BioF) (PDB:1BS0)	COG20_FUNCTION	NA	K00652; missing bioF EC:2.3.1.47	309
Vitamins and co-factors	cobalamin	cobaltochelatase CobS [EC:6.6.1.2]	KOfam	K09882		310
Vitamins and co-factors	cobalamin	cobaltochelatase CobT [EC:6.6.1.2]	KOfam	K09883		311
Vitamins and co-factors	cobalamin	cobaltochelatase CobN [EC:6.6.1.2]	KOfam	NA	K02230	312
Vitamins and co-factors	cobalamin	"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]"	KOfam	NA	K02224	313
Vitamins and co-factors	cobalamin	precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]	KOfam	NA	K06042	314
Vitamins and co-factors	cobalamin	"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase [EC:2.1.1.132 2.1.1.289 2.1.1.196]"	KOfam	NA	K00595	315
Vitamins and co-factors	cobalamin	precorrin-6A synthase [EC:2.1.1.152]	KOfam	NA	K02228	316
Vitamins and co-factors	cobalamin	precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]	KOfam	NA	K05936	317
Vitamins and co-factors	cobalamin	cobalt-precorrin 5A hydrolase / cobalt-factor III methyltransferase / precorrin-3B C17-methyltransferase [EC:3.7.1.12 2.1.1.272 2.1.1.131]	KOfam	NA	K13541	318
Vitamins and co-factors	cobalamin	precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131]	KOfam	NA	K13540	319
Vitamins and co-factors	cobalamin	precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2.1.1.272]	KOfam	NA	K05934	320
Vitamins and co-factors	cobalamin	precorrin-3B synthase [EC:1.14.13.83]	KOfam	NA	K02229	321
Vitamins and co-factors	cobalamin	precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]	KOfam	NA	K03394	322
Vitamins and co-factors	cobalamin	uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75]	KOfam	NA	K13542	323
Vitamins and co-factors	cobalamin	uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	KOfam	NA	K02303	324
Vitamins and co-factors	"NAD biosynthesis, tryptophan => quinolinate => NAD"	arylformamidase [EC:3.5.1.9]	KOfam	NA	K01432	325
Vitamins and co-factors	"NAD biosynthesis, tryptophan => quinolinate => NAD"	kynurenine formamidase [EC:3.5.1.9]	KOfam	NA	K14263/COG0657	326
Vitamins and co-factors	"NAD biosynthesis, tryptophan => quinolinate => NAD"	arylformamidase [EC:3.5.1.9]	KOfam	NA	K07130/COG1878	327
Vitamins and co-factors	"NAD biosynthesis, tryptophan => quinolinate => NAD"	kynurenine 3-monooxygenase [EC:1.14.13.9]	KOfam	NA	K00486	328
Vitamins and co-factors	"NAD biosynthesis, tryptophan => quinolinate => NAD"	kynureninase [EC:3.7.1.3]	KOfam	NA	K01556/COG3844	329
Vitamins and co-factors	"NAD biosynthesis, tryptophan => quinolinate => NAD"	"3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]"	KOfam	NA	K00452	330
Vitamins and co-factors	"NAD biosynthesis, aspartate => quinolinate => NAD"	L-aspartate oxidase [EC:1.4.3.16]	KOfam	NA	K00278/COG0029	331
Vitamins and co-factors	"NAD biosynthesis, aspartate => quinolinate => NAD"	aspartate dehydrogenase [EC:1.4.1.21]	KOfam	NA	K06989/COG1712	332
Vitamins and co-factors	"NAD biosynthesis, aspartate => quinolinate => NAD"	quinolinate synthase [EC:2.5.1.72]	KOfam	K03517		333
Vitamins and co-factors	NAD synthesis	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	KOfam	K00767		334
Vitamins and co-factors	NAD synthesis	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	KOfam	K00969		335
Vitamins and co-factors	NAD synthesis	NH3-dependent NAD+ synthetase (NadE) (PDB:3HMQ)	COG20_FUNCTION	COG0171	"K01916/	K01950"	336
Vitamins and co-factors	NAD synthesis	nicotinamide mononucleotide adenylyltransferase [EC:2.7.7.1 2.7.7.18]	KOfam	NA	K06210	337
Vitamins and co-factors	NAD synthesis	NAD+ kinase [EC:2.7.1.23]	KOfam	K00858		338
Vitamins and co-factors	Niacin synthesis	nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]	KOfam	K00969		339
Vitamins and co-factors	Niacin synthesis	bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]	KOfam	NA		340
Vitamins and co-factors	Niacin synthesis	Purine nucleoside phosphorylase (XapA) (PDB:1YQQ)	COG20_FUNCTION	COG0005	K03783; [EC:2.4.2.1]	341
Vitamins and co-factors	Niacin synthesis	nicotinate phosphoribosyltransferase [EC:6.3.4.21]	KOfam	NA	"K00763/	COG1488"	342
Vitamins and co-factors	Niacin synthesis	IMP and pyridine-specific 5'-nucleotidase [EC:3.1.3.99 3.1.3.-]	KOfam	NA	K18550; missing a 5'-nucleotidase [EC:3.1.3.5]	343
Vitamins and co-factors	myo-insitol	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	KOfam	K01092		344
Vitamins and co-factors	myo-insitol	myo-inositol-1-phosphate synthase	KOfam	NA	K01858	345
Vitamins and co-factors	myo-insitol	inositol polyphosphate-4-phosphatase [EC:3.1.3.66]	KOfam	NA	K01109	346
Vitamins and co-factors	myo-insitol	inositol polyphosphate 1-phosphatase	KOfam	NA	K01107	347
Vitamins and co-factors	myo-insitol	"3'(2'), 5'-bisphosphate nucleotidase / inositol polyphosphate 1-phosphatase"	KOfam	NA	K15422	348
Vitamins and co-factors	myo-insitol	inositol polyphosphate 5-phosphatase INPP5A	KOfam	NA	K01106	349
Vitamins and co-factors	myo-insitol	type I inositol polyphosphate 5-phosphatase IP5P1/2	KOfam	NA	K24221	350
Vitamins and co-factors	myo-insitol	inositol polyphosphate 5-phosphatase INPP5J/K	KOfam	NA	K24222	351
Vitamins and co-factors	PABA	Anthranilate/para-aminobenzoate synthases component I (TrpE) (PDB:1I1Q)	COG20_FUNCTION	COG0147	K01665; EC:2.6.1.85	352
Vitamins and co-factors	PABA	Anthranilate/para-aminobenzoate synthase component II (glutamine amidotransferase) (PabA) (PDB:1I1Q)	COG20_FUNCTION	COG0512	K01664; EC:2.6.1.85	353
Vitamins and co-factors	PABA	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase (IlvE) (PDB:1A3G)	COG20_FUNCTION	COG0115	K02619; EC:4.1.3.38	354
Vitamins and co-factors	Riboflavin	"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"	KOfam	K00794		355
Vitamins and co-factors	Riboflavin	riboflavin synthase [EC:2.5.1.9]	KOfam	K00793		356
Vitamins and co-factors	Riboflavin	riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	KOfam	K11753		357
Vitamins and co-factors	Riboflavin	"3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]"	KOfam	K14652		358
Vitamins and co-factors	Riboflavin	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	KOfam	K11752		359
Vitamins and co-factors	Riboflavin	"FMN and 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB, HAD superfamily (riboflavin biosynthesis) (YigB) (PDB:4JB3) (PUBMED:24123841)"	COG20_FUNCTION	COG1011	K20862; EC:3.1.3.102 3.1.3.104	360
Vitamins and co-factors	Folate	GTP cyclohydrolase IA [EC:3.5.4.16]	KOfam	K01495		361
Vitamins and co-factors	Folate	Dihydroneopterin aldolase (FolB) (PDB:1B9L)	COG20_FUNCTION	COG1539		362
Vitamins and co-factors	Folate	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	KOfam	K00950		363
Vitamins and co-factors	Folate	dihydropteroate synthase [EC:2.5.1.15]	KOfam	K00796		364
Vitamins and co-factors	Folate	Folylpolyglutamate synthase/Dihydropteroate synthase (FolC) (PDB:1W78)	COG20_FUNCTION	COG0285	K11754; EC 6.3.2.12	365
Vitamins and co-factors	Folate	dihydrofolate reductase	KOfam	NA	K00287; missing 1.5.1.3  	366
Vitamins and co-factors	Folate	thymidylate synthase (FAD) [EC:2.1.1.148]	KOfam	K03465		367
Vitamins and co-factors	Folate	dihydroneopterin triphosphate aldolase (PTPS-III) / 6-pyruvoyltetrahydropterin synthase [EC:4.1.2.60 4.2.3.12]	KOfam	NA	K22101	368
amino acid conversions	amino acid conversions	"Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG (PucG) (PDB:3NNK)"	COG20_FUNCTION	COG0075		369
amino acid conversions	amino acid conversions	Glycine/serine hydroxymethyltransferase (GlyA) (PDB:1BJ4)	COG20_FUNCTION	COG0112		370
amino acid conversions	amino acid conversions	Glutamate synthase domain 1 (GltB1) (PDB:1EA0)	COG20_FUNCTION	COG0067		371
amino acid conversions	amino acid conversions	glutamine synthetase [EC:6.3.1.2]	KOfam	K01915		372
amino acid conversions	amino acid conversions	Carbamoylphosphate synthase large subunit (CarB) (PDB:1C30)	COG20_FUNCTION	COG0458		373
amino acid conversions	amino acid conversions	Carbamoylphosphate synthase small subunit (CarA) (PDB:1C30)	COG20_FUNCTION	COG0505		374
amino acid conversions	amino acid conversions	D-alanine transaminase [EC:2.6.1.21]	KOfam	NA		375
amino acid conversions	amino acid conversions	alanine racemase [EC:5.1.1.1]	KOfam	NA		376
amino acid conversions	amino acid conversions	Amino acid racemase YgeA (RacX) (PDB:5ELL)	COG20_FUNCTION	COG1794		377
amino acid conversions	amino acid conversions	"RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"	KOfam	K13821		378
